StdAnalyzer/Classic, StdAnalyzer/BM25, NLPCore/Classic, NLPCore/BM25
Question #  1:   0,  0,  0,  0
Question #  2:   1,  5,  3,  0
Question #  3:   1,  2,  1,  1
Question #  4:   0,  0,  0,  0
Question #  5:   0,  0,  0,  0
Question #  6:   0,  0,  0,  0
Question #  7:   1,  9,  1,  5
Question #  8:   7,  4,  1,  1
Question #  9:   9,  0,  0,  0
Question # 10:   2,  2,  3,  6
Question # 11:   0,  0,  0,  0
Question # 12:   0,  0,  0,  0
Question # 13:   0,  0,  0,  0
Question # 14:   0,  0,  0,  0
Question # 15:   0,  0,  0,  0
Question # 16:   0,  0,  0,  0
Question # 17:   0,  0,  0,  0
Question # 18:   0,  0,  0,  0
Question # 19:   1,  1,  1,  1
Question # 20:   0,  0,  0,  0
Question # 21:   2,  0,  1,  0
Question # 22:   0,  0,  0,  0
Question # 23:   2,  1,  1,  1
Question # 24:   0,  0,  0,  0
Question # 25:   0,  0,  0,  0
Question # 26:   0,  0,  0,  0
Question # 27:   0,  0,  0,  0
Question # 28:   1,  0,  5,  0
Question # 29:  10,  0,  0,  0
Question # 30:   3,  2,  2,  1
Question # 31:   0,  0,  0,  0
Question # 32:   7,  4,  0,  0
Question # 33:   0,  0,  0,  0
Question # 34:   0,  0,  0,  0
Question # 35:   1,  1,  1,  1
Question # 36:   1,  1,  1,  1
Question # 37:   2,  5,  2,  0
Question # 38:   0,  0,  0,  0
Question # 39:   1,  0,  1,  1
Question # 40:   0,  0,  0,  0
Question # 41:   6,  0,  0,  0
Question # 42:   3,  5,  2,  6
Question # 43:   0,  0,  0,  0
Question # 44:   0,  0,  0,  0
Question # 45:   9,  0,  3,  6
Question # 46:   1,  0,  1, 10
Question # 47:   6,  0,  0,  0
Question # 48:   2,  3,  2,  0
Question # 49:   0,  0,  7,  5
Question # 50:   0,  0,  0,  0
Question # 51:   1,  7,  0,  0
Question # 52:   3,  7,  0,  0
Question # 53:   0,  0,  0,  0
Question # 54:   0,  0,  0,  0
Question # 55:   5,  6,  5,  5
Question # 56:   0,  0,  0,  0
Question # 57:   1,  1,  2,  2
Question # 58:   0,  0,  0,  0
Question # 59:   1,  9,  1,  3
Question # 60:   2,  2,  0,  0
Question # 61:   0,  0,  0,  0
Question # 62:   5,  0,  7,  0
Question # 63:   1,  1,  1,  1
Question # 64:   1,  1,  1,  1
Question # 65:   1,  1,  1,  1
Question # 66:   0,  0,  0,  0
Question # 67:   0,  0,  0,  0
Question # 68:  10,  1,  1,  1
Question # 69:   2,  7,  0,  0
Question # 70:   0,  0,  0,  0
Question # 71:   0,  0,  0,  0
Question # 72:   2,  1,  1,  1
Question # 73:   4,  4,  0,  0
Question # 74:   0,  0,  0,  0
Question # 75:   3,  0,  5,  0
Question # 76:   3,  0,  1,  9
Question # 77:   2,  0,  1,  0
Question # 78:   0,  0,  0,  0
Question # 79:   0,  0,  0,  0
Question # 80:   0,  0,  0,  0
Question # 81:   2,  1,  3,  0
Question # 82:   1,  1,  1,  1
Question # 83:   0,  0,  0,  0
Question # 84:   0,  0,  0,  0
Question # 85:   0,  0,  0,  0
Question # 86:   0,  0, 10,  0
Question # 87:   7,  0,  0,  0
Question # 88:   0,  0,  0,  0
Question # 89:   0,  4,  0,  0
Question # 90:   0,  0,  0,  0
Question # 91:   9,  0,  9,  0
Question # 92:   0,  0,  0,  0
Question # 93:   0,  0,  0,  0
Question # 94:   1,  1,  2,  2
Question # 95:   2,  2,  3,  2
Question # 96:   0,  0,  0,  0
Question # 97:   1,  1,  2,  3
Question # 98:   1,  1,  1,  1
Question # 99:   0,  0,  0,  0
Question #100:   0,  0,  0,  0
